,Unnamed: 0,Method,$\epsilon$,RMSE
276,76,ABC,$\epsilon$=10%,1.5152201039678164
277,77,ABC,$\epsilon$=10%,1.5296150322935849
278,78,ABC,$\epsilon$=10%,1.7541570123439727
279,79,ABC,$\epsilon$=10%,1.547044401975897
280,80,ABC,$\epsilon$=10%,1.706924816633392
281,81,ABC,$\epsilon$=10%,1.6247005255859523
282,82,ABC,$\epsilon$=10%,0.8244086741815384
283,83,ABC,$\epsilon$=10%,1.0096726210522764
284,84,ABC,$\epsilon$=10%,0.7244747205628933
285,85,ABC,$\epsilon$=10%,1.1270663052840637
286,86,ABC,$\epsilon$=10%,0.7871436337832032
287,87,ABC,$\epsilon$=10%,1.4371111037404212
288,88,ABC,$\epsilon$=10%,1.34388516333926
289,89,ABC,$\epsilon$=10%,0.8416014937009507
290,90,ABC,$\epsilon$=10%,1.290443219089611
291,91,ABC,$\epsilon$=10%,1.824784794739584
292,92,ABC,$\epsilon$=10%,1.7743841896305343
293,93,ABC,$\epsilon$=10%,1.7433007929204107
294,94,ABC,$\epsilon$=10%,1.5632563143541247
295,95,ABC,$\epsilon$=10%,1.5361254303120675
296,96,ABC,$\epsilon$=10%,1.3483658763247357
297,97,ABC,$\epsilon$=10%,1.1516875077154425
298,98,ABC,$\epsilon$=10%,1.5524341019441774
299,99,ABC,$\epsilon$=10%,1.9636207903430896
300,0,ABC-RS (ours),$\epsilon$=10%,0.4298366624311309
301,1,ABC-RS (ours),$\epsilon$=10%,0.5665662050377474
302,2,ABC-RS (ours),$\epsilon$=10%,0.5841459872197722
303,3,ABC-RS (ours),$\epsilon$=10%,0.5018241507779378
304,4,ABC-RS (ours),$\epsilon$=10%,0.6842324710175178
305,5,ABC-RS (ours),$\epsilon$=10%,0.5262844792903292
306,6,ABC-RS (ours),$\epsilon$=10%,0.5943099227453197
307,7,ABC-RS (ours),$\epsilon$=10%,0.5604732665701477
308,8,ABC-RS (ours),$\epsilon$=10%,0.6358390440011942
309,9,ABC-RS (ours),$\epsilon$=10%,0.6583429225566229
310,10,ABC-RS (ours),$\epsilon$=10%,0.508108842692888
311,11,ABC-RS (ours),$\epsilon$=10%,0.5812190900382184
312,12,ABC-RS (ours),$\epsilon$=10%,0.4451106375900284
313,13,ABC-RS (ours),$\epsilon$=10%,0.5409163181901588
314,14,ABC-RS (ours),$\epsilon$=10%,0.6347683776738444
315,15,ABC-RS (ours),$\epsilon$=10%,0.6156167302231897
316,16,ABC-RS (ours),$\epsilon$=10%,0.4994533969293547
317,17,ABC-RS (ours),$\epsilon$=10%,0.9357696165413132
318,18,ABC-RS (ours),$\epsilon$=10%,0.7250580481978552
319,19,ABC-RS (ours),$\epsilon$=10%,0.634071287532861
320,20,ABC-RS (ours),$\epsilon$=10%,2.471723617364275
321,21,ABC-RS (ours),$\epsilon$=10%,0.4634019951725676
322,22,ABC-RS (ours),$\epsilon$=10%,0.6440859939779779
323,23,ABC-RS (ours),$\epsilon$=10%,0.3781094885856706
324,24,ABC-RS (ours),$\epsilon$=10%,0.7630878772410151
325,25,ABC-RS (ours),$\epsilon$=10%,0.48207566077297
326,26,ABC-RS (ours),$\epsilon$=10%,0.728594333751425
327,27,ABC-RS (ours),$\epsilon$=10%,0.4090171336896506
328,28,ABC-RS (ours),$\epsilon$=10%,0.8669403336802171
329,29,ABC-RS (ours),$\epsilon$=10%,0.68152669301816
330,30,ABC-RS (ours),$\epsilon$=10%,0.6503314309736616
331,31,ABC-RS (ours),$\epsilon$=10%,0.536196263903953
332,32,ABC-RS (ours),$\epsilon$=10%,0.4274628247539933
333,33,ABC-RS (ours),$\epsilon$=10%,0.6423690823862597
334,34,ABC-RS (ours),$\epsilon$=10%,0.6630536240469926
335,35,ABC-RS (ours),$\epsilon$=10%,0.6598524241246697
336,36,ABC-RS (ours),$\epsilon$=10%,0.3935213109623016
337,37,ABC-RS (ours),$\epsilon$=10%,0.5421281035933003
338,38,ABC-RS (ours),$\epsilon$=10%,1.0630978248694425
339,39,ABC-RS (ours),$\epsilon$=10%,0.7074055655695968
340,40,ABC-RS (ours),$\epsilon$=10%,0.589455879636699
341,41,ABC-RS (ours),$\epsilon$=10%,0.380117456651677
342,42,ABC-RS (ours),$\epsilon$=10%,0.6097197076412754
343,43,ABC-RS (ours),$\epsilon$=10%,0.5631094649516941
344,44,ABC-RS (ours),$\epsilon$=10%,0.7603453961936901
345,45,ABC-RS (ours),$\epsilon$=10%,0.574823178807249
346,46,ABC-RS (ours),$\epsilon$=10%,0.6537037232089947
347,47,ABC-RS (ours),$\epsilon$=10%,0.6944549789298079
348,48,ABC-RS (ours),$\epsilon$=10%,0.8126621176467959
349,49,ABC-RS (ours),$\epsilon$=10%,0.75644245483796
350,50,ABC-RS (ours),$\epsilon$=10%,0.7012357288631575
351,51,ABC-RS (ours),$\epsilon$=10%,0.4457825291464679
